acceleration_x,acceleration_y,acceleration_z,activity
-2.116,3.094,13.33,1
0.488,2.807,8.96,1
-0.373,3.726,7.734,1
-0.067,3.688,7.83,1
-0.794,2.577,12.96,1
-0.22,3.669,6.853,1
-0.411,3.516,8.998,1
-0.948,3.803,8.251,1
0.162,2.443,11.62,1
-0.354,3.899,6.317,1
-0.45,3.477,8.73,1
-1.216,3.075,11.58,1
0.105,2.941,9.228,1
-0.545,3.822,7.715,1
-0.277,3.65,8.251,1
-0.814,2.634,12.85,1
-0.028,3.573,6.968,1
-0.411,3.573,8.634,1
-0.584,3.688,7.964,1
-0.047,2.539,12.02,1
-0.335,3.86,6.259,1
-0.373,3.535,8.979,1
-1.388,3.324,11.12,1
0.258,2.826,9.765,1
-0.411,3.86,7.16,1
-0.105,3.65,8.002,1
-0.871,2.768,13.37,1
-0.258,3.688,7.236,1
-0.565,3.726,8.136,1
-0.737,3.784,8.29,1
-0.181,2.481,12.39,1
-0.277,3.86,6.183,1
-0.488,3.707,8.673,1
-1.139,3.65,9.075,1
0.162,2.749,10.45,1
-0.852,4.071,7.275,1
-0.603,3.784,8.769,1
-1.139,2.941,12.98,1
-0.105,3.592,7.14,1
-0.507,3.707,8.347,1
-0.258,3.726,7.868,1
-0.584,2.481,13.29,1
-0.316,3.899,6.317,1
-0.335,3.611,8.96,1
-1.024,3.803,8.5,1
0.316,2.73,10.86,1
-0.296,3.918,6.891,1
-0.22,3.669,8.711,1
-1.005,2.96,12.6,1
-0.047,3.343,8.022,1
-0.43,3.726,8.29,1
-0.411,3.822,8.117,1
-0.507,2.443,13.58,1
-0.354,3.956,6.144,1
-0.584,3.669,8.96,1
-1.063,3.765,9.056,1
0.181,2.826,10.61,1
-0.143,3.918,6.317,1
-0.316,3.65,8.749,1
-1.158,3.094,12.31,1
0.009,3.305,8.385,1
-0.411,3.803,8.213,1
-0.335,3.745,8.002,1
-0.584,2.424,13.67,1
-0.296,3.956,5.819,1
-0.584,3.707,9.037,1
-1.216,3.86,8.96,1
0.105,2.864,10.84,1
-0.162,3.994,6.202,1
-0.181,3.611,8.711,1
-1.197,3.152,12.45,1
0.067,3.247,8.385,1
-0.45,3.86,7.887,1
-0.22,3.822,8.29,1
-0.545,2.768,13.19,1
-0.258,3.994,6.202,1
-0.584,3.784,8.998,1
-1.101,3.956,9.094,1
0.067,2.807,11.24,1
